time,foot1,foot2,hand1,hand2,pos1,pos2,parry_pos1,parry_pos2,ground,result,flow,score,bout,
,,,,,,,,,,,,,1,
3:18:06,fs,fs,,,,,,,,,,,,
3:18:07,,,,,,,,,,,,,,
3:18:08,,,,,,,,,,,,,,
3:18:09,,,,,,,,,,,,,,
3:18:10,,,,,,,,,,,,,,
3:18:11,,,,,,,,,,,,,,
3:18:12,,,,,,,,,,,,,,
3:18:13,,,,,,,,,,,,,,
3:18:14,,,,,,,,,,,,,,
3:18:15,,,,,,,,,,,,,,
3:18:16,,,,,,,,,,,,,,
3:18:17,ff,ff,,,,,,,,,,,,
3:18:18,fs,as,,,,,,,,,,,,
3:18:19,,,,,,,,,,,,,,
3:18:20,,,,,,,,,,,,,,
3:18:21,,,,,,,,,,,,,,
3:18:22,,,,,,,,,,,,,,
3:18:23,,,,,,,,,,,,,,
3:18:24,ff,,,,,,,,,,,,,
3:18:25,as,,,as,,,,,,,,,,
3:18:26,,,,,,,,,,,,,,
3:18:27,,,,,,,,,,,,,,
3:18:28,,,as,,,,,,,,,,,
3:18:29,,,,,,,,,,,,,,
3:19:01,,af,,h,,4,,,7,,,,,
3:19:02,af,,h,,4,,,,7,,,,,
,,,,,,,,,,b,ffb,,,
,,,,,,,,,,,,,2,
3:28:05,fs,fs,,,,,,,,,,,,
3:28:06,,,,,,,,,,,,,,
3:28:07,,,,,,,,,,,,,,
3:28:08,,,,,,,,,,,,,,
3:28:09,,,,,,,,,,,,,,
3:28:10,,,,,,,,,,,,,,
3:28:11,,,,,,,,,,,,,,
3:28:12,,,,,,,,,,,,,,
3:28:13,,,,,,,,,,,,,,
3:28:14,,,,,,,,,,,,,,
3:28:15,,ff,,,,,,,,,,,,
3:28:16,ff,as,,,,,,,,,,,,
3:28:17,fs,,,,,,,,,,,,,
3:28:18,,,,,,,,,,,,,,
3:28:19,,,,,,,,,,,,,,
3:28:20,,,,,,,,,,,,,,
3:28:21,,,,,,,,,,,,,,
3:28:22,,,,,,,,,,,,,,
3:28:23,,,,,,,,,,,,,,
3:28:24,,,,,,,,,,,,,,
3:28:25,ff,,,as,,,,,,,,,,
3:28:26,bs,,,,,,,,,,,,,
3:28:27,,,,,,,,,,,,,,
3:28:28,,,,,,,,,,,,,,
3:28:29,,,,,,,,,,,,,,
3:29:00,,af,,,,,,,,,,,,
3:29:01,,,,,,,,,,,,,,
3:29:02,,,,h,,4,,,6,,,,,
3:29:03,,,,,,,,,,,,,,
3:29:04,,,,,,,,,,,,,,
3:29:05,,,,,,,,,,,,,,
3:29:06,,,,,,,,,,,,,,
3:29:07,bf,,,,,,,,,,,,,
,,,,,,,,,,a,bff,2,,
,,,,,,,,,,,,,3,
3:47:18,fs,fs,,,,,,,,,,,,
3:47:19,,,,,,,,,,,,,,
3:47:20,,,,,,,,,,,,,,
3:47:21,,,,,,,,,,,,,,
3:47:22,,,,,,,,,,,,,,
3:47:23,,,,,,,,,,,,,,
3:47:24,,,,,,,,,,,,,,
3:47:25,,,,,,,,,,,,,,
3:47:26,,,,,,,,,,,,,,
3:47:27,,,,,,,,,,,,,,
3:47:28,,,,,,,,,,,,,,
3:47:29,,,,,,,,,,,,,,
3:48:00,ff,ff,,,,,,,,,,,,
3:48:01,fs,as,,,,,,,,,,,,
3:48:02,,,,,,,,,,,,,,
3:48:03,,,,,,,,,,,,,,
3:48:04,,,,,,,,,,,,,,
3:48:05,,,,,,,,,,,,,,
3:48:06,ff,,,,,,,,,,,,,
3:48:07,as,,,as,,,,,,,,,,
3:48:08,,,as,,,,,,,,,,,
3:48:09,,,,,,,,,,,,,,
3:48:10,,,,,,,,,,,,,,
3:48:11,,,,,,,,,,,,,,
3:48:12,,,,,,,,,,,,,,
3:48:13,,af,,h,,4,,,7,,,,,
3:48:14,af,,h,,4,,,,7,,,,,
,,,,,,,,,,b,ffb,,,
,,,,,,,,,,,,,4,
3:57:10,fs,fs,,,,,,,,,,,,
3:57:11,,,,,,,,,,,,,,
3:57:12,,,,,,,,,,,,,,
3:57:13,,,,,,,,,,,,,,
3:57:14,,,,,,,,,,,,,,
3:57:15,,,,,,,,,,,,,,
3:57:16,,,,,,,,,,,,,,
3:57:17,,,,,,,,,,,,,,
3:57:18,,,,,,,,,,,,,,
3:57:19,,,,,,,,,,,,,,
3:57:20,,,,,,,,,,,,,,
3:57:21,,,,,,,,,,,,,,
3:57:22,,,,,,,,,,,,,,
3:57:23,ff,ff,,,,,,,,,,,,
3:57:24,as,as,,,,,,,,,,,,
3:57:25,,,,,,,,,,,,,,
3:57:26,,,,,,,,,,,,,,
3:57:27,,,,,,,,,,,,,,
3:57:28,,,,,,,,,,,,,,
3:57:29,,,as,as,,,,,,,,,,
3:58:00,,,,,,,,,,,,,,
3:58:01,,,,,,,,,,,,,,
3:58:02,,,,,,,,,,,,,,
3:58:03,,,,,,,,,,,,,,
3:58:04,,af,,h,,5,,,7,,,,,
3:58:05,af,,h,,4,,,,7,,,,,
,,,,,,,,,,b,ffb,,,
,,,,,,,,,,,,,5,
4:07:13,fs,fs,,,,,,,,,,,,
4:07:14,,,,,,,,,,,,,,
4:07:15,,,,,,,,,,,,,,
4:07:16,,,,,,,,,,,,,,
4:07:17,,,,,,,,,,,,,,
4:07:18,,,,,,,,,,,,,,
4:07:19,,,,,,,,,,,,,,
4:07:20,,,,,,,,,,,,,,
4:07:21,,,,,,,,,,,,,,
4:07:22,,,,,,,,,,,,,,
4:07:23,ff,ff,,,,,,,,,,,,
4:07:24,fs,as,,,,,,,,,,,,
4:07:25,,,,,,,,,,,,,,
4:07:26,,,,,,,,,,,,,,
4:07:27,,,,,,,,,,,,,,
4:07:28,,,,,,,,,,,,,,
4:07:29,ff,,,,,,,,,,,,,
4:08:00,as,,,,,,,,,,,,,
4:08:01,,,as,as,,,,,,,,,,
4:08:02,,,,,,,,,,,,,,
4:08:03,,,,,,,,,,,,,,
4:08:04,,,,,,,,,,,,,,
4:08:05,,,,,,,,,,,,,,
4:08:06,,,h,,4,,,,7,,,,,
4:08:07,af,af,,h,,5,,,7,,,,,
,,,,,,,,,,a,ff2,2,,
,,,,,,,,,,,,,6,
4:22:19,fs,fs,,,,,,,,,,,,
4:22:20,,,,,,,,,,,,,,
4:22:21,,,,,,,,,,,,,,
4:22:22,,,,,,,,,,,,,,
4:22:23,,,,,,,,,,,,,,
4:22:24,,,,,,,,,,,,,,
4:22:25,,,,,,,,,,,,,,
4:22:26,,,,,,,,,,,,,,
4:22:27,,,,,,,,,,,,,,
4:22:28,,,,,,,,,,,,,,
4:22:29,,ff,,,,,,,,,,,,
4:23:00,ff,as,,,,,,,,,,,,
4:23:01,as,,,,,,,,,,,,,
4:23:02,,,,,,,,,,,,,,
4:23:03,,,,,,,,,,,,,,
4:23:04,,,,,,,,,,,,,,
4:23:05,,,,,,,,,,,,,,
4:23:06,,,,as,,,,,,,,,,
4:23:07,,,as,,,,,,,,,,,
4:23:08,,,,,,,,,,,,,,
4:23:09,,,,,,,,,,,,,,
4:23:10,,,,,,,,,,,,,,
4:23:11,,af,,h,,5,,,7,,,,,
4:23:12,,,h,,4,,,,7,,,,,
4:23:13,af,,,,,,,,,,,,,
,,,,,,,,,,b,ffb,,,
,,,,,,,,,,,,,7,
4:32:00,fs,fs,,,,,,,,,,,,
4:32:01,,,,,,,,,,,,,,
4:32:02,,,,,,,,,,,,,,
4:32:03,,,,,,,,,,,,,,
4:32:04,,,,,,,,,,,,,,
4:32:05,,,,,,,,,,,,,,
4:32:06,,,,,,,,,,,,,,
4:32:07,,,,,,,,,,,,,,
4:32:08,,,,,,,,,,,,,,
4:32:09,,,,,,,,,,,,,,
4:32:10,,,,,,,,,,,,,,
4:32:11,ff,,,,,,,,,,,,,
4:32:12,fs,ff,,,,,,,,,,,,
4:32:13,,as,,,,,,,,,,,,
4:32:14,,,,,,,,,,,,,,
4:32:15,,,,,,,,,,,,,,
4:32:16,,,,,,,,,,,,,,
4:32:17,,,,,,,,,,,,,,
4:32:18,,,,,,,,,,,,,,
4:32:19,ff,,,,,,,,,,,,,
4:32:20,bs,,,as,,,,,,,,,,
4:32:21,,,,,,,,,,,,,,
4:32:22,,,,,,,,,,,,,,
4:32:23,,,,,,,,,,,,,,
4:32:24,,,ps,,,,,,,,,,,
4:32:25,,af,p,af,,5,5,,6,,,,,
4:32:26,,,rs,,,,,,,,,,,
4:32:27,,,,,,,,,,,,,,
4:32:28,,,,,,,,,,,,,,
4:32:29,,,,,,,,,,,,,,
4:33:00,bf,,,,,,,,,,,,,
4:33:01,,,h,,5,,,,6,,,,,
,,,,,,,,,,r,bfr,1,,
,,,,,,,,,,,,,8,
4:49:28,fs,fs,,,,,,,,,,,,
4:49:29,,,,,,,,,,,,,,
4:50:00,,,,,,,,,,,,,,
4:50:01,,,,,,,,,,,,,,
4:50:02,,,,,,,,,,,,,,
4:50:03,,,,,,,,,,,,,,
4:50:04,,,,,,,,,,,,,,
4:50:05,,,,,,,,,,,,,,
4:50:06,,,,,,,,,,,,,,
4:50:07,,ff,,,,,,,,,,,,
4:50:08,ff,as,,,,,,,,,,,,
4:50:09,fs,,,,,,,,,,,,,
4:50:10,,,,,,,,,,,,,,
4:50:11,,,,,,,,,,,,,,
4:50:12,,,,,,,,,,,,,,
4:50:13,,,,,,,,,,,,,,
4:50:14,,,,,,,,,,,,,,
4:50:15,,,,,,,,,,,,,,
4:50:16,ff,,,,,,,,,,,,,
4:50:17,as,,,as,,,,,,,,,,
4:50:18,,,as,,,,,,,,,,,
4:50:19,,,,,,,,,,,,,,
4:50:20,,,,,,,,,,,,,,
4:50:21,,,,,,,,,,,,,,
4:50:22,,,,,,,,,,,,,,
4:50:23,af,af,,h,,4,,,7,,,,,
4:50:24,,,h,,5,,,,7,,,,,
,,,,,,,,,,a,ff2,2,,
,,,,,,,,,,,,,9,
5:09:12,fs,fs,,,,,,,,,,,,
5:09:13,,,,,,,,,,,,,,
5:09:14,,,,,,,,,,,,,,
5:09:15,,,,,,,,,,,,,,
5:09:16,,,,,,,,,,,,,,
5:09:17,,,,,,,,,,,,,,
5:09:18,,,,,,,,,,,,,,
5:09:19,,,,,,,,,,,,,,
5:09:20,,,,,,,,,,,,,,
5:09:21,,ff,,,,,,,,,,,,
5:09:22,ff,fs,,,,,,,,,,,,
5:09:23,fs,,,,,,,,,,,,,
5:09:24,,,,,,,,,,,,,,
5:09:25,,,,,,,,,,,,,,
5:09:26,,,,,,,,,,,,,,
5:09:27,,,,,,,,,,,,,,
5:09:28,,,,,,,,,,,,,,
5:09:29,ff,,,,,,,,,,,,,
5:10:00,bs,,,,,,,,,,,,,
5:10:01,,,,,,,,,,,,,,
5:10:02,,,,,,,,,,,,,,
5:10:03,,ff,,,,,,,,,,,,
5:10:04,,bs,,,,,,,,,,,,
5:10:05,,,,,,,,,,,,,,
5:10:06,,,,,,,,,,,,,,
5:10:07,,bf,,,,,,,,,,,,
5:10:08,,fs,,,,,,,,,,,,
5:10:09,,,,,,,,,,,,,,
5:10:10,,,,,,,,,,,,,,
5:10:11,bf,,,,,,,,,,,,,
5:10:12,cs,,,,,,,,,,,,,
5:10:13,,,,,,,,,,,,,,
5:10:14,,,,,,,,,,,,,,
5:10:15,,ff,,,,,,,,,,,,
5:10:16,cf,fs,,,,,,,,,,,,
5:10:17,bs,,,,,,,,,,,,,
5:10:18,,,,,,,,,,,,,,
5:10:19,,,,,,,,,,,,,,
5:10:20,,,,,,,,,,,,,,
5:10:21,,,,,,,,,,,,,,
5:10:22,,,,,,,,,,,,,,
5:10:23,,,,,,,,,,,,,,
5:10:24,,ff,,,,,,,,,,,,
5:10:25,,fs,,,,,,,,,,,,
5:10:26,,,,,,,,,,,,,,
5:10:27,,,,,,,,,,,,,,
5:10:28,,,,,,,,,,,,,,
5:10:29,,,,,,,,,,,,,,
5:11:00,,,,,,,,,,,,,,
5:11:01,,ff,,,,,,,,,,,,
5:11:02,,fs,,,,,,,,,,,,
5:11:03,,,,,,,,,,,,,,
5:11:04,,,,,,,,,,,,,,
5:11:05,,,,,,,,,,,,,,
5:11:06,,,,,,,,,,,,,,
5:11:07,,,,,,,,,,,,,,
5:11:08,,,,,,,,,,,,,,
5:11:09,ff,,,,,,,,,,,,,
5:11:10,cs,,,,,,,,,,,,,
5:11:11,,,,,,,,,,,,,,
5:11:12,,,,,,,,,,,,,,
5:11:13,,,,,,,,,,,,,,
5:11:14,,,,,,,,,,,,,,
5:11:15,,,,,,,,,,,,,,
5:11:16,,ff,,,,,,,,,,,,
5:11:17,,fs,,,,,,,,,,,,
5:11:18,,,,,,,,,,,,,,
5:11:19,,,,,,,,,,,,,,
5:11:20,,,,,,,,,,,,,,
5:11:21,,,,,,,,,,,,,,
5:11:22,,,,,,,,,,,,,,
5:11:23,,,,,,,,,,,,,,
5:11:24,,,,,,,,,,,,,,
5:11:25,,ff,,,,,,,,,,,,
5:11:26,,fs,,,,,,,,,,,,
5:11:27,,,,,,,,,,,,,,
5:11:28,cf,,,,,,,,,,,,,
5:11:29,bs,,,,,,,,,,,,,
5:12:00,,,,,,,,,,,,,,
5:12:01,,,,,,,,,,,,,,
5:12:02,,,,,,,,,,,,,,
5:12:03,,,,,,,,,,,,,,
5:12:04,,,,,,,,,,,,,,
5:12:05,,,,,,,,,,,,,,
5:12:06,,ff,,,,,,,,,,,,
5:12:07,,fs,,,,,,,,,,,,
5:12:08,,,,,,,,,,,,,,
5:12:09,,,,,,,,,,,,,,
5:12:10,bf,,,,,,,,,,,,,
5:12:11,bs,,,,,,,,,,,,,
5:12:12,,,,,,,,,,,,,,
5:12:13,,,,,,,,,,,,,,
5:12:14,,,,,,,,,,,,,,
5:12:15,,,,,,,,,,,,,,
5:12:16,,ff,,,,,,,,,,,,
5:12:17,,as,,,,,,,,,,,,
5:12:18,,,,,,,,,,,,,,
5:12:19,,,,,,,,,,,,,,
5:12:20,,,,,,,,,,,,,,
5:12:21,,,,,,,,,,,,,,
5:12:22,,,,,,,,,,,,,,
5:12:23,,,,,,,,,,,,,,
5:12:24,bf,,,,,,,,,,,,,
5:12:25,bs,,,,,,,,,,,,,
5:12:26,,,,,,,,,,,,,,
5:12:27,,,,,,,,,,,,,,
5:12:28,,,ps,ps,,,,,,,,,,
5:12:29,,,,p,,,5,,0,,,,,
5:13:00,,,,rs,,,,,,,,,,
5:13:01,,,pf,,,,,,,,,,,
5:13:02,,af,as,,,,,,,,,,,
5:13:03,,,,,,,,,,,,,,
5:13:04,,,,,,,,,,,,,,
5:13:05,,,,h,,5,,,0,,,,,
5:13:06,bf,,,,,,,,,,,,,
5:13:07,,,h,,5,,,,0,,,,,
,,,,,,,,,,r,bbfbr,2,,
,,,,,,,,,,,,,10,
5:38:02,fs,fs,,,,,,,,,,,,
5:38:03,,,,,,,,,,,,,,
5:38:04,,,,,,,,,,,,,,
5:38:05,,,,,,,,,,,,,,
5:38:06,,,,,,,,,,,,,,
5:38:07,,,,,,,,,,,,,,
5:38:08,,,,,,,,,,,,,,
5:38:09,,,,,,,,,,,,,,
5:38:10,,,,,,,,,,,,,,
5:38:11,ff,,,,,,,,,,,,,
5:38:12,fs,ff,,,,,,,,,,,,
5:38:13,,as,,,,,,,,,,,,
5:38:14,,,,,,,,,,,,,,
5:38:15,,,,,,,,,,,,,,
5:38:16,,,,,,,,,,,,,,
5:38:17,ff,,,,,,,,,,,,,
5:38:18,as,,,,,,,,,,,,,
5:38:19,,,,,,,,,,,,,,
5:38:20,,,as,as,,,,,,,,,,
5:38:21,,,,,,,,,,,,,,
5:38:22,,,,,,,,,,,,,,
5:38:23,,,,,,,,,,,,,,
5:38:24,,,h,,4,,,,7,,,,,
5:38:25,af,,,h,,4,,,7,,,,,
5:38:26,,af,,,,,,,,,,,,
,,,,,,,,,,b,ffb,,,
,,,,,,,,,,,,,11,
5:47:22,fs,fs,,,,,,,,,,,,
5:47:23,,,,,,,,,,,,,,
5:47:24,,,,,,,,,,,,,,
5:47:25,,,,,,,,,,,,,,
5:47:26,,,,,,,,,,,,,,
5:47:27,,,,,,,,,,,,,,
5:47:28,,,,,,,,,,,,,,
5:47:29,,,,,,,,,,,,,,
5:48:00,,,,,,,,,,,,,,
5:48:01,ff,ff,,,,,,,,,,,,
5:48:02,fs,fs,,,,,,,,,,,,
5:48:03,,,,,,,,,,,,,,
5:48:04,,,,,,,,,,,,,,
5:48:05,,,,,,,,,,,,,,
5:48:06,,,,,,,,,,,,,,
5:48:07,,,,,,,,,,,,,,
5:48:08,ff,ff,,,,,,,,,,,,
5:48:09,bs,bs,,,,,,,,,,,,
5:48:10,,,,,,,,,,,,,,
5:48:11,,,,,,,,,,,,,,
5:48:12,,,,,,,,,,,,,,
5:48:13,,,,,,,,,,,,,,
5:48:14,,,,,,,,,,,,,,
5:48:15,,,,,,,,,,,,,,
5:48:16,,,,,,,,,,,,,,
5:48:17,bf,,,,,,,,,,,,,
5:48:18,fs,,,,,,,,,,,,,
5:48:19,,,,,,,,,,,,,,
5:48:20,,,,,,,,,,,,,,
5:48:21,,,,,,,,,,,,,,
5:48:22,,bf,,,,,,,,,,,,
5:48:23,,bs,,,,,,,,,,,,
5:48:24,,,,,,,,,,,,,,
5:48:25,,,,,,,,,,,,,,
5:48:26,,,,,,,,,,,,,,
5:48:27,,,,,,,,,,,,,,
5:48:28,,,,,,,,,,,,,,
5:48:29,,,,,,,,,,,,,,
5:49:00,ff,bf,,,,,,,,,,,,
5:49:01,as,bs,,,,,,,,,,,,
5:49:02,,,,,,,,,,,,,,
5:49:03,,,,,,,,,,,,,,
5:49:04,,,as,,,,,,,,,,,
5:49:05,,,,,,,,,,,,,,
5:49:06,,,,,,,,,,,,,,
5:49:07,,,,,,,,,,,,,,
5:49:08,,,,,,,,,,,,,,
5:49:09,,,,,,,,,,,,,,
5:49:10,,,,,,,,,,,,,,
5:49:11,,,,,,,,,,,,,,
5:49:12,af,,af,,5,,,,9,,,,,
5:49:13,,,,,,,,,,,,,,
5:49:14,,,,,,,,,,,,,,
5:49:15,,,,,,,,,,,,,,
5:49:16,,,,,,,,,,,,,,
5:49:17,,bf,,,,,,,,,,,,
5:49:18,,bs,,,,,,,,,,,,
5:49:19,,,,,,,,,,,,,,
5:49:20,,,,,,,,,,,,,,
5:49:21,,,,,,,,,,,,,,
5:49:22,,,,,,,,,,,,,,
5:49:23,,,,,,,,,,,,,,
5:49:24,,,,,,,,,,,,,,
5:49:25,,,,,,,,,,,,,,
5:49:26,,,,,,,,,,,,,,
5:49:27,,,,,,,,,,,,,,
5:49:28,,,,,,,,,,,,,,
5:49:29,,,,,,,,,,,,,,
5:50:00,,,,,,,,,,,,,,
5:50:01,,,,,,,,,,,,,,
5:50:02,,,,,,,,,,,,,,
5:50:03,,bf,,,,,,,,,,,,
5:50:04,,fs,,,,,,,,,,,,
5:50:05,,,,,,,,,,,,,,
5:50:06,,,,,,,,,,,,,,
5:50:07,,,,,,,,,,,,,,
5:50:08,,,,,,,,,,,,,,
5:50:09,,,,,,,,,,,,,,
5:50:10,,,,,,,,,,,,,,
5:50:11,,,,,,,,,,,,,,
5:50:12,,,,,,,,,,,,,,
5:50:13,,,,,,,,,,,,,,
5:50:14,,,,,,,,,,,,,,
5:50:15,,,,,,,,,,,,,,
5:50:16,,,,,,,,,,,,,,
5:50:17,,,,,,,,,,,,,,
5:50:18,,,,,,,,,,,,,,
5:50:19,,,,,,,,,,,,,,
5:50:20,,,,,,,,,,,,,,
5:50:21,,,,,,,,,,,,,,
5:50:22,,,,,,,,,,,,,,
5:50:23,,,,,,,,,,,,,,
5:50:24,,,,bs,,,,,,,,,,
5:50:25,,,,,,,,,,,,,,
5:50:26,,,,,,,,,,,,,,
5:50:27,,,,,,,,,,,,,,
5:50:28,,,,bf,,,,,,,,,,
5:50:29,,,,,,,,,,,,,,
5:51:00,,ff,,,,,,,,,,,,
5:51:01,,fs,,,,,,,,,,,,
5:51:02,bs,,,,,,,,,,,,,
5:51:03,,,,,,,,,,,,,,
5:51:04,,,,,,,,,,,,,,
5:51:05,,,,,,,,,,,,,,
5:51:06,,,,,,,,,,,,,,
5:51:07,,,,,,,,,,,,,,
5:51:08,,,,,,,,,,,,,,
5:51:09,,,,,,,,,,,,,,
5:51:10,,,,,,,,,,,,,,
5:51:11,,,,,,,,,,,,,,
5:51:12,bf,,,,,,,,,,,,,
5:51:13,bs,,,,,,,,,,,,,
5:51:14,,,,,,,,,,,,,,
5:51:15,,ff,,,,,,,,,,,,
5:51:16,,fs,,,,,,,,,,,,
5:51:17,,,,,,,,,,,,,,
5:51:18,,,,,,,,,,,,,,
5:51:19,,,,,,,,,,,,,,
5:51:20,,,,,,,,,,,,,,
5:51:21,,,,,,,,,,,,,,
5:51:22,,,,,,,,,,,,,,
5:51:23,,,,,,,,,,,,,,
5:51:24,,,,,,,,,,,,,,
5:51:25,bf,,,,,,,,,,,,,
5:51:26,bs,,,,,,,,,,,,,
5:51:27,,,,,,,,,,,,,,
5:51:28,,,,,,,,,,,,,,
5:51:29,,ff,,,,,,,,,,,,
5:52:00,,fs,,,,,,,,,,,,
5:52:01,,,,,,,,,,,,,,
5:52:02,,,,,,,,,,,,,,
5:52:03,,,,,,,,,,,,,,
5:52:04,,,,,,,,,,,,,,
5:52:05,bf,,,,,,,,,,,,,
5:52:06,bs,,,,,,,,,,,,,
5:52:07,,ff,,,,,,,,,,,,
5:52:08,,fs,,,,,,,,,,,,
5:52:09,,,,,,,,,,,,,,
5:52:10,,,,,,,,,,,,,,
5:52:11,,,,,,,,,,,,,,
5:52:12,,,,,,,,,,,,,,
5:52:13,,,,,,,,,,,,,,
5:52:14,,,,,,,,,,,,,,
5:52:15,,,,,,,,,,,,,,
5:52:16,,,,,,,,,,,,,,
5:52:17,,,,,,,,,,,,,,
5:52:18,,,,,,,,,,,,,,
5:52:19,,ff,,,,,,,,,,,,
5:52:20,,fs,,,,,,,,,,,,
5:52:21,,,,,,,,,,,,,,
5:52:22,,,,,,,,,,,,,,
5:52:23,,,,,,,,,,,,,,
5:52:24,,,,,,,,,,,,,,
5:52:25,,,,,,,,,,,,,,
5:52:26,,,,,,,,,,,,,,
5:52:27,,,,,,,,,,,,,,
5:52:28,,,,,,,,,,,,,,
5:52:29,,,,,,,,,,,,,,
5:53:00,,ff,,,,,,,,,,,,
5:53:01,,fs,,,,,,,,,,,,
5:53:02,,,,,,,,,,,,,,
5:53:03,bf,,,,,,,,,,,,,
5:53:04,bs,,,,,,,,,,,,,
5:53:05,,,,,,,,,,,,,,
5:53:06,,,,,,,,,,,,,,
5:53:07,,,,,,,,,,,,,,
5:53:08,,,,,,,,,,,,,,
5:53:09,,,,,,,,,,,,,,
5:53:10,,,,,,,,,,,,,,
5:53:11,,,,,,,,,,,,,,
5:53:12,,,,,,,,,,,,,,
5:53:13,,,,,,,,,,,,,,
5:53:14,,ff,,,,,,,,,,,,
5:53:15,,fs,,,,,,,,,,,,
5:53:16,,,,,,,,,,,,,,
5:53:17,,,,,,,,,,,,,,
5:53:18,,,,,,,,,,,,,,
5:53:19,,,,,,,,,,,,,,
5:53:20,,,,,,,,,,,,,,
5:53:21,,,,,,,,,,,,,,
5:53:22,bf,,,,,,,,,,,,,
5:53:23,bs,ff,,,,,,,,,,,,
5:53:24,,as,,,,,,,,,,,,
5:53:25,,,,,,,,,,,,,,
5:53:26,,,,,,,,,,,,,,
5:53:27,,,,,,,,,,,,,,
5:53:28,,,,,,,,,,,,,,
5:53:29,,,,,,,,,,,,,,
5:54:00,,,,,,,,,,,,,,
5:54:01,bf,,,,,,,,,,,,,
5:54:02,bs,,,,,,,,,,,,,
5:54:03,,,,,,,,,,,,,,
5:54:04,,,,as,,,,,,,,,,
5:54:05,,,ps,,,,5,,,,,,,
5:54:06,,,,,,,,,,,,,,
5:54:07,,af,pf,,,,,,,,,,,
5:54:08,,,cs,,,,,,,,,,,
5:54:09,,,,,,,,,,,,,,
5:54:10,,,,h,,4,,,0.5,,,,,
5:54:11,,,,,,,,,,,,,,
5:54:12,,,h,,6,,,,,,,,,
5:54:13,,,,,,,,,,,,,,
5:54:14,,,,,,,,,,,,,,
5:54:15,,,,,,,,,,,,,,
5:54:16,,,,,,,,,,,,,,
5:54:17,bf,,,,,,,,,,,,,
,,,,,,,,,,a,bbfbbbff,2,,
,,,,,,,,,,,,,12,
6:15:04,fs,fs,,,,,,,,,,,,
6:15:05,,,,,,,,,,,,,,
6:15:06,,,,,,,,,,,,,,
6:15:07,,,,,,,,,,,,,,
6:15:08,,,,,,,,,,,,,,
6:15:09,,,,,,,,,,,,,,
6:15:10,,,,,,,,,,,,,,
6:15:11,,,,,,,,,,,,,,
6:15:12,ff,,,,,,,,,,,,,
6:15:13,as,,,,,,,,,,,,,
6:15:14,,,,,,,,,,,,,,
6:15:15,,ff,,,,,,,,,,,,
6:15:16,,as,,,,,,,,,,,,
6:15:17,,,,,,,,,,,,,,
6:15:18,,,,,,,,,,,,,,
6:15:19,,,,,,,,,,,,,,
6:15:20,,,as,,,,,,,,,,,
6:15:21,,,,,,,,,,,,,,
6:15:22,,,,as,,,,,,,,,,
6:15:23,,,,,,,,,,,,,,
6:15:24,,,h,,4,,,,7,,,,,
6:15:25,af,,,,,,,,,,,,,
6:15:26,,af,,h,,5,,,7,,,,,
,,,,,,,,,,a,ff1,1,,
,,,,,,,,,,,,,13,
6:33:00,fs,fs,,,,,,,,,,,,
6:33:01,,,,,,,,,,,,,,
6:33:02,,,,,,,,,,,,,,
6:33:03,,,,,,,,,,,,,,
6:33:04,,,,,,,,,,,,,,
6:33:05,,,,,,,,,,,,,,
6:33:06,,,,,,,,,,,,,,
6:33:07,,,,,,,,,,,,,,
6:33:08,,,,,,,,,,,,,,
6:33:09,,,,,,,,,,,,,,
6:33:10,,ff,,,,,,,,,,,,
6:33:11,ff,as,,,,,,,,,,,,
6:33:12,as,,,,,,,,,,,,,
6:33:13,,,,,,,,,,,,,,
6:33:14,,,,,,,,,,,,,,
