time,event,score
1:07,start,
1:08,both,
1:35,start,
1:36,both,
1:44,start,
1:45,both,
1:52,start,
1:53,attack,1
2:09,start,
2:18,attack,1
2:36,start,
2:37,both,
2:52,start,
2:53,both,
3:01,start,
3:03,pr,1
3:17,start,
3:19,pr,1
3:32,start,
3:33,attack,1
4:05,start,
4:12,attack,1
4:28,start,
4:30,ca,2
4:50,start,
4:52,pr,1
5:08,start,
5:12,attack,2
5:25,start,
5:28,attack,1
6:40,start,
6:43,attack,1
7:04,start,
7:14,attack,1
7:40,start,
7:41,both,
7:57,start,
8:04,attack,1
8:35,start,
8:38,attack,1
9:00,start,
9:02,attack,2
9:23,start,
9:24,both,
9:36,start,
9:44,attack,1
10:13,start,
10:20,pr,2
10:57,start,
10:58,both,
11:06,start,
11:08,attack,2
11:21,start,
11:22,attack,1
11:55,start,
11:59,attack,1